replicate	queries	coverage	useful_correct_coverage	precision_among_evaluable_accepted
0	14638	0.7302227080202214	0.4939882497608963	0.676489849377865
1	18458	0.5561274244230144	0.35003792393542094	0.6295430186105427
2	17858	0.6176503527830665	0.3778698622466122	0.6118969894813203
3	13500	0.616	0.451037037037037	0.7322029822029822
4	27422	0.4826416745678652	0.28229159069360366	0.5848885530789573
5	26125	0.7514258373205741	0.4845933014354067	0.6448983750191024
6	14980	0.5477970627503338	0.22082777036048065	0.40311966853521813
7	24197	0.6566929784684051	0.45571765094846467	0.694220599345253
8	22384	0.4887866333095068	0.19670300214438885	0.40250479934180455
9	24218	0.5513667520026426	0.3465191180113965	0.6285671485282002
10	19407	0.45236254959550676	0.22321842634101097	0.49367521367521366
11	15096	0.5633280339162692	0.46522257551669316	0.8260409315455187
12	19756	0.6007288924883579	0.2794594047378012	0.4652005392652511
13	14137	0.5633444153639386	0.31824290867935207	0.5652010050251256
14	12850	0.6641245136186771	0.40824902723735407	0.6152943936195168
15	27643	0.6029374525196253	0.4411243352747531	0.7316253674926502
16	20800	0.5232692307692308	0.17673076923076922	0.33786764705882355
17	24266	0.5617324651776148	0.3231270089837633	0.5754017758861084
18	19536	0.5673628173628174	0.40822072072072074	0.7196354448655478
19	24072	0.6043536058491193	0.3744599534729146	0.619689261652688
20	11242	0.5112969222558263	0.2667674790962462	0.5217466945024356
21	18572	0.6264807236700409	0.3406202886065044	0.5439848654226502
22	20921	0.624922326848621	0.41962621289613306	0.6714853908520728
23	20028	0.5229179149191132	0.37597363690832836	0.7189916929246635
24	21850	0.4951487414187643	0.28842105263157897	0.5827092001849283
25	17675	0.6945403111739745	0.44248939179632246	0.6370967741935484
26	21809	0.5625659131551195	0.37750469989453894	0.6710408346238487
27	18893	0.5737574763139788	0.3460011644524427	0.603266888150609
28	24190	0.6112856552294337	0.3868540719305498	0.6328531818489214
29	26424	0.5401907356948229	0.34994701786254917	0.6480936361087749
30	21008	0.6617479055597868	0.3839965727341965	0.580276219249029
31	22409	0.6575036815565175	0.4385737873175956	0.6673910090995518
32	23618	0.6139385214666779	0.44355999661275297	0.7227818407616945
33	21732	0.5558163077489416	0.3504049328179643	0.6304329828628198
34	25146	0.5909886264216972	0.32490256899705716	0.5499091337416706
35	23050	0.7091973969631237	0.5313232104121475	0.7492811257265218
36	18948	0.5377348532826683	0.35460206881992823	0.6596956308296514
37	13486	0.5975826783330862	0.4007860002966039	0.6708452277522651
38	13863	0.6901825001803361	0.4181634566832576	0.6060004181476061
39	19249	0.6270455608083537	0.5068834744662061	0.8085018230029831
40	19942	0.5985357536856885	0.5030588707251028	0.8404825737265416
41	16087	0.528812084291664	0.34705041337726117	0.6562830610085811
42	15303	0.4285434228582631	0.2691629092334836	0.6282794386821232
43	23649	0.5826039155989683	0.3435663241574697	0.5897082305124111
44	24854	0.6287519111611813	0.3925323891526515	0.624384
45	23771	0.5490723991418115	0.43157629043792856	0.7860098069261416
46	20274	0.6483673670711256	0.41249876689355824	0.6362114872575123
47	19677	0.6126950246480662	0.37663261676068505	0.6150207468879668
48	19911	0.5108733865702375	0.3706493897845412	0.7255210381439245
49	23995	0.4401750364659304	0.257136903521567	0.584280303030303
50	22405	0.521490738674403	0.3614371792010712	0.6930845600821637
51	21079	0.629489064946155	0.414298591014754	0.6582497927187759
52	20829	0.6330116664266168	0.3328532334725623	0.5258248009101252
53	23831	0.5648944651923965	0.3893667911543788	0.689273510622493
54	24341	0.4743026169836901	0.2448954439012366	0.5165958921916978
55	35400	0.56	0.3235593220338983	0.5779011099899092
56	18002	0.6424841684257305	0.4181202088656816	0.6508993427879627
57	22718	0.550796725063826	0.3337001496610617	0.6058499160872692
58	19385	0.5309259736909981	0.34150116069125613	0.6432180334240186
59	16729	0.3613485563990675	0.1980393328949728	0.5482376303160682
60	15328	0.5249217118997912	0.3691936325678497	0.7033308476261496
61	14136	0.569538766270515	0.2601160158460668	0.45671345174512484
62	15436	0.5993780772220783	0.3397253174397512	0.5667963683527886
63	19004	0.5746684908440328	0.2562092191117659	0.44583829319659374
64	23924	0.6656495569302792	0.3881457950175556	0.5831083202511774
65	25306	0.4574409231012408	0.24515925077056824	0.5361216730038023
66	20796	0.6121369494133487	0.37723600692440856	0.6162608012568735
67	24524	0.6096884684390801	0.3481895286250204	0.5712469895638213
68	20537	0.6701076106539416	0.5003651945269514	0.7468023255813954
69	21242	0.5748046323321722	0.40730628001129837	0.7087155963302753
70	16374	0.5196042506412606	0.3669842433125687	0.7062764456981664
71	18183	0.621184622999505	0.3605015673981191	0.5806537337230933
72	23578	0.580201883111375	0.38043939265416915	0.6559894690653796
73	17797	0.6451087261898073	0.4024273754003484	0.6238132566849578
74	25884	0.6599830010817493	0.4120692319579663	0.6244365084011475
75	16348	0.5027526302911671	0.3254832395400049	0.6477175897748022
76	15381	0.5634874195435927	0.30830245107600285	0.5472590882862088
77	24274	0.5851940347697124	0.38539177721018375	0.6585709257303767
78	26519	0.6418039895923677	0.4773558580640296	0.7437720329024677
79	27252	0.5789666813444885	0.4284456186701893	0.7400177462289264
80	18803	0.6303249481465724	0.377386587246716	0.5989196488858879
81	22820	0.5719982471516214	0.3850131463628396	0.6733082994865507
82	25758	0.5791598726609208	0.3708750679400575	0.6403673414666845
83	18261	0.6218169870215213	0.3705164010733257	0.5960708307638094
84	18298	0.5774401573942507	0.42163077932014426	0.7301722506151808
85	18905	0.43549325575244646	0.25443004496165034	0.5843761389867573
86	18331	0.6802138453985053	0.43521902787627514	0.6399294136520414
87	19858	0.5711048443952059	0.32782757578809546	0.574124702354705
88	25610	0.5841077704021866	0.43018352206169463	0.7364797112106424
89	18395	0.5067137809187279	0.3331340038053819	0.6577224428464098
90	17269	0.579709305692281	0.4517343216167699	0.7792428328838278
91	23168	0.5597375690607734	0.3628280386740331	0.6485110322481099
92	17376	0.6435313075506446	0.41119935543278086	0.6389733500268289
93	21848	0.6367630904430611	0.3814079091907726	0.5989792984473835
94	24295	0.6114426836797695	0.4020991973657131	0.6578008214935022
95	18874	0.6423121754794956	0.4062201970965349	0.6325385694249649
96	19810	0.44457344775365976	0.2962645128722867	0.6664017258998524
97	14810	0.5029709655638083	0.3191762322754895	0.634752249227877
98	17689	0.6296568488891402	0.32766125840918087	0.5203806787574071
99	21860	0.5498627630375115	0.41376944190301923	0.752621068397404
100	15470	0.5808015513897867	0.3758241758241758	0.6472225314482912
101	19255	0.5325370033757466	0.30495975071410025	0.5727662895044869
102	21451	0.5330287632278216	0.36557736236072913	0.6858492216197306
103	23398	0.6338575946662108	0.4317035644072143	0.6811652842403398
104	24744	0.4847235693501455	0.36594730035564177	0.7550867244829886
105	21025	0.49697978596908443	0.36546967895362664	0.7358038877717131
106	16588	0.4982517482517482	0.3893175789727514	0.7815563354713785
107	14649	0.641613762031538	0.43852822718274287	0.6837679616817456
108	27059	0.6110721017036845	0.4371558446357959	0.7155646966305729
109	18049	0.38268048091307	0.23890520250429387	0.624475018102824
110	23928	0.49724172517552656	0.3146940822467402	0.632985877605918
111	17152	0.7154850746268657	0.5145755597014925	0.7194326703619172
112	18954	0.6457212197952938	0.37448559670781895	0.5802337938363443
113	17888	0.6772696779964222	0.5346042039355993	0.7893520429219976
114	21321	0.616199990619577	0.47994934571549175	0.7790042630937881
115	24623	0.6559720586443569	0.36076026479307965	0.5500990834778301
116	22321	0.6583038394337172	0.41122709556023473	0.6246767388049544
117	17583	0.5290337257578343	0.42313598362054256	0.7998279939797893
118	25958	0.6087526003544187	0.4419832036366438	0.726047335780281
119	12686	0.5816648273687529	0.4525461138262652	0.7780187017211004
120	24300	0.642633744855967	0.4723868312757202	0.7350794057377049
121	21451	0.5926530231690831	0.37098503566267305	0.6259734130417682
122	19267	0.6783100638397259	0.502205844189547	0.7406046689628779
123	18302	0.530215277018905	0.35679160747459293	0.6729183841714756
124	25419	0.5004130768322909	0.33459223415555295	0.6686320754716981
125	19849	0.5211345659730969	0.39231195526222984	0.7528035576179428
126	24784	0.64828114912847	0.3702792123950936	0.5713129552387475
127	18135	0.47819134270747177	0.3751861042183623	0.7851373182552503
128	16907	0.5388892174838824	0.3625717158573372	0.6729608079920957
129	21425	0.5141656942823803	0.36340723453908985	0.7067901234567902
130	15688	0.6802014278429372	0.46615247322794495	0.6855723258648168
131	19527	0.5177958723818303	0.30153121319199055	0.5825665380429406
132	28500	0.43687719298245614	0.27950877192982454	0.6397879688378444
133	15503	0.49055021608720895	0.3466425853060698	0.7071983155678379
134	26446	0.6394917946003176	0.43602057021855856	0.6818235572374646
135	21404	0.689730891422164	0.42795739114184267	0.6207223690451988
136	20351	0.6172669647683161	0.24504938332268686	0.3969909250119408
137	19621	0.5512461138576016	0.24101727740686	0.4374653098982424
138	20772	0.552522626612748	0.32519738108992874	0.5885684412302866
139	16661	0.5458856011043755	0.24998499489826542	0.45794392523364486
140	18941	0.6138007496964257	0.42569030146243597	0.6936510667584308
141	21613	0.5499467912830242	0.4476009808911303	0.8138987043580683
142	23103	0.5269445526554993	0.34843959658918755	0.6614626129827444
143	21437	0.6050753370340999	0.4140971217987592	0.6843728317014879
144	21910	0.574258329529895	0.40232770424463715	0.7008268405151853
145	19860	0.6143001007049346	0.362638469284995	0.590327868852459
146	13935	0.6261212773591676	0.29752421959095804	0.4751862464183381
