metric	numerator	denominator	estimate	lower_95	upper_95	components	saved_replicates
coverage	11686	20637	0.5662644764258371	0.4227000421405085	0.7076836293009272	192	2000
precision_among_evaluable_accepted	7378	11684	0.6314618281410476	0.4265652027718892	0.8140838361441924	192	2000
useful_correct_coverage	7378	20637	0.35751320443862966	0.2101933022053208	0.5130323643831305	192	2000
