resolution	outputs	evaluable	concordant	discordant	unevaluable	concordance_among_evaluable	fraction_of_all_queries
EC_L3	10042	10042	5906	4136	0	0.5881298546106354	0.4866017347482677
EC_L4	642	642	481	161	0	0.7492211838006231	0.031109172844890245
EXACT_RHEA	1002	1000	991	9	2	0.991	0.04855356883267917
ABSTAIN	8951	0	0	0	0	NA	0.4337355235741629
