level	stage	denominator	positive_queries	eligible_queries	availability
EXACT_RHEA	union_at_50	library_supported_truth	13609	17005	0.8002940311673037
EXACT_RHEA	mmseqs_at_100	all_phase12_queries	12865	27639	0.46546546546546547
EXACT_RHEA	mmseqs_at_100	documented_truth	12865	26431	0.4867390564110325
EXACT_RHEA	mmseqs_at_100	library_supported_truth	12865	17005	0.7565421934725081
EXACT_RHEA	foldseek_at_100	all_phase12_queries	12994	27639	0.47013278338579545
EXACT_RHEA	foldseek_at_100	documented_truth	12994	26431	0.49161968900155123
EXACT_RHEA	foldseek_at_100	library_supported_truth	12994	17005	0.7641281975889445
EXACT_RHEA	union_at_100	all_phase12_queries	13704	27639	0.4958211223271464
EXACT_RHEA	union_at_100	documented_truth	13704	26431	0.5184820854299875
EXACT_RHEA	union_at_100	library_supported_truth	13704	17005	0.8058806233460747
