level	cohort	validation_target	threshold	queries	candidate_available	candidate_availability	top1_correct	top1_accuracy	accepted	accepted_correct	coverage	precision	accepted_correct_fraction	accepted_disagreement_fraction	accepted_clusters	cluster_precision_ci95_low	cluster_precision_ci95_high	query_exact_ci95_low	meets_descriptive_95_rule	rule_qualified_95_coverage	new_external_certification
EC_L3	sampled	0.9	0.8648648858070374	27639	14231	0.5148883823582618	11488	0.4156445602228735	8117	6731	0.29367922139006475	0.8292472588394727	0.24353268931582184	0.05014653207424292	628	0.7227655036522854	0.9142333184057322	0.8208817701221056	False	0.0	False
EC_L3	full	0.9	0.8648648858070374	27639	24045	0.8699663518940627	17373	0.6285683273635081	17680	13866	0.639675820398712	0.7842760180995475	0.5016824052968631	0.13799341510184884	891	0.6815966271415437	0.8836746456615991	0.7781381870266963	False	0.0	False
EC_L3	sampled	0.95	0.9290865659713744	27639	14231	0.5148883823582618	11488	0.4156445602228735	5928	5193	0.2144795397807446	0.8760121457489879	0.18788668186258548	0.026592857918159123	480	0.7778512651402385	0.9494365477305768	0.8673528337593324	False	0.0	False
EC_L3	full	0.95	0.9290865659713744	27639	24045	0.8699663518940627	17373	0.6285683273635081	15280	12367	0.5528419986251312	0.8093586387434555	0.44744744744744747	0.1053945511776837	758	0.6954400045302482	0.9125635381422268	0.803039009679349	False	0.0	False
EC_L4	sampled	0.9	0.8974359035491943	27639	5151	0.1863670899815478	4501	0.16284959658453635	1041	971	0.03766417019429068	0.9327569644572526	0.0351315170592279	0.0025326531350627736	108	0.8406873718405554	0.9889830891034099	0.9158030102025846	False	0.0	False
EC_L4	full	0.9	0.8974359035491943	27639	14266	0.5161547089257933	11023	0.3988205072542422	4713	4261	0.17051991750786932	0.904095056227456	0.15416621440717826	0.016353703100691053	198	0.7646710580336371	0.9910903949081289	0.8953300765136659	False	0.0	False
EC_L4	sampled	0.95	0.9714285731315612	27639	5151	0.1863670899815478	4501	0.16284959658453635	815	784	0.02948731864394515	0.9619631901840491	0.028365715112703065	0.0011216035312420854	86	0.9117079097934484	0.9935173847498957	0.9464420875368277	False	0.0	False
EC_L4	full	0.95	0.9714285731315612	27639	14266	0.5161547089257933	11023	0.3988205072542422	3827	3607	0.13846376496978907	0.9425137183172198	0.1305039979738775	0.007959766995911574	144	0.8531922502604139	0.9942133602819236	0.93466395024197	False	0.0	False
EXACT_RHEA	sampled	0.9	0.9416666626930236	27639	4527	0.1637902963204168	3951	0.1429501790947574	845	791	0.03057274141611491	0.936094674556213	0.02861898042620934	0.0019537609899055682	94	0.8533324360699865	0.9843955720829309	0.9174368969463846	False	0.0	False
EXACT_RHEA	full	0.9	0.9416666626930236	27639	13609	0.49238395021527553	10258	0.3711422265639133	4403	4014	0.15930388219544847	0.9116511469452646	0.14522956691631392	0.014074315279134556	174	0.785869583248606	0.9860855940695645	0.9028792439526349	False	0.0	False
EXACT_RHEA	sampled	0.95	0.9416666626930236	27639	4527	0.1637902963204168	3951	0.1429501790947574	845	791	0.03057274141611491	0.936094674556213	0.02861898042620934	0.0019537609899055682	94	0.8533324360699865	0.9843955720829309	0.9174368969463846	False	0.0	False
EXACT_RHEA	full	0.95	0.9416666626930236	27639	13609	0.49238395021527553	10258	0.3711422265639133	4403	4014	0.15930388219544847	0.9116511469452646	0.14522956691631392	0.014074315279134556	174	0.785869583248606	0.9860855940695645	0.9028792439526349	False	0.0	False
