level	contrast	additional_positive_queries	all_queries	difference_fraction	ci95_low	ci95_high	clusters	replicates	seed
EC_L3	union50_minus_scored	9814	27639	0.35507796953580084	0.30205173904188454	0.40671306536723445	1220	2000	20260819
EC_L4	union50_minus_scored	9115	27639	0.32978761894424546	0.2635284504802672	0.40311923203640354	1220	2000	20260819
EXACT_RHEA	union50_minus_scored	9082	27639	0.32859365389485873	0.261403888125484	0.40433382637105114	1220	2000	20260819
EC_L3	union100_minus_union50	361	27639	0.013061254025109447	0.006425108987060058	0.021589417515703948	1220	2000	20260819
EC_L4	union100_minus_union50	28	27639	0.0010130612540251095	0.00019192468564099583	0.0023444451792429496	1220	2000	20260819
EXACT_RHEA	union100_minus_union50	95	27639	0.003437172111870907	0.00026466052141774774	0.009267500601841528	1220	2000	20260819
