level	target	threshold	scope	metric	estimate	ci95_low	ci95_high	denominator_queries	cohort_clusters	scope_clusters	replicates	seed	valid_draws	undefined_draws	interval_status
EC_L4	0.9	0.8974359035491943	ALL_QUERIES	accepted_precision_delta	-0.02866190822979664	-0.08371735707398312	0.003953548504934361	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.9	0.8974359035491943	BASELINE_SAMPLING_LOSS	coverage_delta	0.25704882062534284	0.1532824409761286	0.3724705060492383	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.9	0.8974359035491943	BASELINE_SAMPLING_LOSS	accepted_concordant_fraction_delta	0.24640702139330772	0.14601731814114055	0.356126731338328	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.9	0.8974359035491943	BASELINE_SAMPLING_LOSS	accepted_disagreement_fraction_delta	0.010641799232035107	0.0004102076469392384	0.029006455352817817	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.9	0.8974359035491943	BASELINE_SAMPLING_LOSS	gain_concordant_fraction	0.24640702139330772	0.14601731814114055	0.356126731338328	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.9	0.8974359035491943	BASELINE_SAMPLING_LOSS	loss_concordant_fraction	0.0	0.0	0.0	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.9	0.8974359035491943	BASELINE_SAMPLING_LOSS	accepted_precision_delta	0.950486669487939			9115	1220	576	2000	20260819	1982	18	NOT_ISSUED_UNDEFINED_DRAWS
EC_L4	0.95	0.9714285731315613	ALL_QUERIES	coverage_delta	0.10897644632584391	0.05941770991545092	0.169549419884042	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	ALL_QUERIES	accepted_concordant_fraction_delta	0.10213828286117443	0.053366289417769164	0.16152733155691504	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	ALL_QUERIES	accepted_disagreement_fraction_delta	0.006838163464669489	0.0005895577753021164	0.01605518931777517	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	ALL_QUERIES	gain_concordant_fraction	0.10221064437931908	0.053451175051956276	0.16152733155691504	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	ALL_QUERIES	loss_concordant_fraction	7.236151814465067e-05	0.0	0.00024656456305187304	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	ALL_QUERIES	accepted_precision_delta	-0.019449471866829326	-0.06470767779806338	0.004911246111623359	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	BASELINE_SAMPLING_LOSS	coverage_delta	0.2161272627537027	0.11791930893630187	0.3265612122187511	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	BASELINE_SAMPLING_LOSS	accepted_concordant_fraction_delta	0.20833790455293472	0.11192158163681865	0.31663516349268017	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	BASELINE_SAMPLING_LOSS	accepted_disagreement_fraction_delta	0.007789358200767965	0.00011019650582163687	0.021752347815212673	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	BASELINE_SAMPLING_LOSS	gain_concordant_fraction	0.20833790455293472	0.11192158163681865	0.31663516349268017	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	BASELINE_SAMPLING_LOSS	loss_concordant_fraction	0.0	0.0	0.0	9115	1220	576	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EC_L4	0.95	0.9714285731315613	BASELINE_SAMPLING_LOSS	accepted_precision_delta	0.9566750629722922			9115	1220	576	2000	20260819	1957	43	NOT_ISSUED_UNDEFINED_DRAWS
EXACT_RHEA	0.9	0.9416666626930237	ALL_QUERIES	coverage_delta	0.12873114077933356	0.07567811933143805	0.1917112193101093	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	ALL_QUERIES	accepted_concordant_fraction_delta	0.11661058649010456	0.06642972627221791	0.1791224722874716	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	ALL_QUERIES	accepted_disagreement_fraction_delta	0.012120554289228988	0.0015967531588798303	0.028225640842036426	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	ALL_QUERIES	gain_concordant_fraction	0.11664676724917689	0.06647181199760316	0.17915907030871364	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	ALL_QUERIES	loss_concordant_fraction	3.618075907232534e-05	0.0	0.0001204206300576609	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	ALL_QUERIES	accepted_precision_delta	-0.024443527610948368	-0.07831684505577331	0.006886258936863018	27639	1220	1220	2000	20260819	2000	0	ALL_DRAWS_DEFINED
EXACT_RHEA	0.9	0.9416666626930237	BASELINE_SAMPLING_LOSS	coverage_delta	0.2651398370402995	0.14741724543713372	0.39426950121416177	9082	1220	499	2000	20260819	2000	0	ALL_DRAWS_DEFINED
