level	predicted_label_count	queries	denominator	fraction
EC_L3	1	25537	27639	0.9239480444299721
EC_L3	2	1802	27639	0.06519772784833026
EC_L3	3	69	27639	0.0024964723759904484
EC_L3	4	72	27639	0.0026050146532074245
EC_L3	5	159	27639	0.005752740692499729
EC_L4	1	23932	27639	0.86587792611889
EC_L4	2	2723	27639	0.0985202069539419
EC_L4	3	694	27639	0.025109446796193785
EC_L4	4	113	27639	0.004088425775172763
EC_L4	5	172	27639	0.006223090560439958
EC_L4	6	1	27639	3.618075907232534e-05
EC_L4	8	4	27639	0.00014472303628930135
EXACT_RHEA	0	1302	27639	0.04710734831216759
EXACT_RHEA	1	18880	27639	0.6830927312855024
EXACT_RHEA	2	5032	27639	0.18206157965194109
EXACT_RHEA	3	716	27639	0.02590542349578494
EXACT_RHEA	4	849	27639	0.03071746445240421
EXACT_RHEA	5	783	27639	0.02832953435363074
EXACT_RHEA	6	21	27639	0.000759795940518832
EXACT_RHEA	7	3	27639	0.00010854227721697601
EXACT_RHEA	8	2	27639	7.236151814465067e-05
EXACT_RHEA	9	1	27639	3.618075907232534e-05
EXACT_RHEA	10	9	27639	0.00032562683165092806
EXACT_RHEA	12	9	27639	0.00032562683165092806
EXACT_RHEA	13	25	27639	0.0009045189768081334
EXACT_RHEA	14	3	27639	0.00010854227721697601
EXACT_RHEA	17	3	27639	0.00010854227721697601
EXACT_RHEA	20	1	27639	3.618075907232534e-05
