level	event	queries	denominator_queries	clusters_with_event	denominator_clusters	query_weighted_fraction	query_ci_low	query_ci_high	equal_cluster_fraction	equal_cluster_ci_low	equal_cluster_ci_high	equal_minus_query_pp	loco_min_fraction	loco_max_fraction	loco_min_excluded_cluster	loco_max_excluded_cluster	largest_1_cohort_clusters_query_fraction	largest_1_cohort_clusters_event_fraction	largest_5_cohort_clusters_query_fraction	largest_5_cohort_clusters_event_fraction	largest_10_cohort_clusters_query_fraction	largest_10_cohort_clusters_event_fraction
EC_L3	NO_DOCUMENTED_TRUTH	0	27639	0	1220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A0A024SC78	A0A024SC78	0.026701400195376097		0.11881761279351641		0.21914685770107456	
EC_L3	NO_TRAIN_LIBRARY_SUPPORT	166	27639	10	1220	0.006006006006006006	0.0007713440078288752	0.013988436959094689	0.005839071024250916	0.002101014589904576	0.010458810041019923	-0.016693498175509008	0.002875550540530703	0.006170774320657224	P23189	B0TC35	0.026701400195376097	0.0	0.11881761279351641	0.0	0.21914685770107456	0.0
EC_L3	LIBRARY_SUPPORTED_UNION50_MISS	3428	27639	133	1220	0.12402764209993125	0.07182972185166042	0.18528362260563663	0.07173914097308932	0.058830947048429304	0.08493421284913315	-5.228850112684193	0.11082807250710673	0.12731326644370122	B5YIB7	B8CWH7	0.026701400195376097	0.01866977829638273	0.11881761279351641	0.06796966161026838	0.21914685770107456	0.1928238039673279
EC_L3	UNION50_POSITIVE_SCORED_SUBSET_MISS	9814	27639	608	1220	0.35507796953580084	0.30205173904188454	0.40671306536723445	0.2861795932725751	0.26584229719656643	0.3066435096318579	-6.889837626322576	0.3476118689561349	0.36325787145459276	Q11SV1	B0TC35	0.026701400195376097	0.0042796005706134095	0.11881761279351641	0.09282657428163847	0.21914685770107456	0.21020990421846342
EC_L3	SCORED_SUBSET_POSITIVE	14231	27639	976	1220	0.5148883823582618	0.4502936761732187	0.5789914080174235	0.6362421947300846	0.6135824366138077	0.6588028088399257	12.135381237182274	0.5055202408832385	0.5247535718241223	B0TC35	B5YIB7	0.026701400195376097	0.04441009064717869	0.11881761279351641	0.15037593984962405	0.21914685770107456	0.23420701285925094
EC_L3	union50_minus_scored	9814	27639	608	1220	0.35507796953580084	0.30205173904188454	0.40671306536723445	0.2861795932725751	0.26584229719656643	0.3066435096318579	-6.889837626322576	0.3476118689561349	0.36325787145459276	Q11SV1	B0TC35	0.026701400195376097	0.0042796005706134095	0.11881761279351641	0.09282657428163847	0.21914685770107456	0.21020990421846342
EC_L3	union100_minus_union50	361	27639	41	1220	0.013061254025109447	0.006425108987060058	0.021589417515703948	0.006622827885472843	0.004026648704971457	0.00939300557081448	-0.6438426139636604	0.01105723312027037	0.013415087328130806	Q6AP32	B8CWH7	0.026701400195376097	0.002770083102493075	0.11881761279351641	0.11634349030470914	0.21914685770107456	0.26869806094182824
EC_L4	NO_DOCUMENTED_TRUTH	0	27639	0	1220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	A0A024SC78	A0A024SC78	0.026701400195376097		0.11881761279351641		0.21914685770107456	
EC_L4	NO_TRAIN_LIBRARY_SUPPORT	10124	27639	335	1220	0.3662940048482217	0.26784022103145433	0.4581452362498546	0.2410871975928131	0.21889287855512146	0.2647195810579816	-12.520680725540862	0.34912671869193607	0.3742283665397553	B8CWH7	C0ZIL2	0.026701400195376097	0.007013038324772817	0.11881761279351641	0.200414855788226	0.21914685770107456	0.3118332674832082
EC_L4	LIBRARY_SUPPORTED_UNION50_MISS	3249	27639	170	1220	0.11755128622598503	0.06892152368580748	0.17816501153247033	0.10687167878772576	0.09115977252580605	0.12342064775308212	-1.0679607438259269	0.10030642005390039	0.12077617932418869	B5YIB7	B0TC35	0.026701400195376097	0.0	0.11881761279351641	0.0003077870113881194	0.21914685770107456	0.16405047706986764
EC_L4	UNION50_POSITIVE_SCORED_SUBSET_MISS	9115	27639	576	1220	0.32978761894424546	0.2635284504802672	0.40311923203640354	0.32629964072974216	0.3051813429711076	0.34770049646459456	-0.34879782145033067	0.319771091009784	0.3387216648086213	A0KZ12	B8CWH7	0.026701400195376097	0.03203510696653867	0.11881761279351641	0.07767416346681294	0.21914685770107456	0.1750959956116292
EC_L4	SCORED_SUBSET_POSITIVE	5151	27639	594	1220	0.1863670899815478	0.15231731070153867	0.22786361533652233	0.32574148288971894	0.30208877570351506	0.348762040003902	13.937439290817114	0.17753986840637895	0.19141583054626532	B0TC35	B8CWH7	0.026701400195376097	0.0728013977868375	0.11881761279351641	0.1059988351776354	0.21914685770107456	0.1496796738497379
EC_L4	union50_minus_scored	9115	27639	576	1220	0.32978761894424546	0.2635284504802672	0.40311923203640354	0.32629964072974216	0.3051813429711076	0.34770049646459456	-0.34879782145033067	0.319771091009784	0.3387216648086213	A0KZ12	B8CWH7	0.026701400195376097	0.03203510696653867	0.11881761279351641	0.07767416346681294	0.21914685770107456	0.1750959956116292
EC_L4	union100_minus_union50	28	27639	8	1220	0.0010130612540251095	0.00019192468564099583	0.0023444451792429496	0.0012130805158224887	0.0001315456631721692	0.002752247495596514	0.02000192617973792	0.00044301694539816146	0.0010408534998698933	B5YIB7	B0TC35	0.026701400195376097	0.0	0.11881761279351641	0.0	0.21914685770107456	0.5714285714285714
EXACT_RHEA	NO_DOCUMENTED_TRUTH	1208	27639	199	1220	0.04370635695936901	0.029908897537932327	0.06271204608387913	0.15852103030040188	0.13892891747621938	0.1789104685286379	11.481467334103288	0.03971079784914983	0.04490539385152968	A0QPN1	B0TC35	0.026701400195376097	0.0	0.11881761279351641	0.0	0.21914685770107456	0.0
EXACT_RHEA	NO_TRAIN_LIBRARY_SUPPORT	9426	27639	303	1220	0.34103983501573865	0.2470807028846133	0.4323622547432007	0.2163327213992029	0.19535109710125928	0.23917761641660745	-12.470711361653574	0.32318840579710145	0.3484271614978006	B8CWH7	C0ZIL2	0.026701400195376097	0.007532357309569276	0.11881761279351641	0.21525567579036706	0.21914685770107456	0.3349246764269043
EXACT_RHEA	LIBRARY_SUPPORTED_UNION50_MISS	3396	27639	148	1220	0.12286985780961684	0.07014386512780717	0.18436790711154177	0.08947672516737885	0.07467384566709546	0.10488050145023908	-3.339313264223799	0.10573337763502787	0.12624066019850563	B5YIB7	B0TC35	0.026701400195376097	0.0	0.11881761279351641	0.0002944640753828033	0.21914685770107456	0.15694935217903416
EXACT_RHEA	UNION50_POSITIVE_SCORED_SUBSET_MISS	9082	27639	499	1220	0.32859365389485873	0.261403888125484	0.40433382637105114	0.28676042350966724	0.2661538128405615	0.3088751092531855	-4.183323038519148	0.318552704448957	0.3374953548866592	A0KZ12	B8CWH7	0.026701400195376097	0.054503413345078175	0.11881761279351641	0.100418410041841	0.21914685770107456	0.19819423034573883
EXACT_RHEA	SCORED_SUBSET_POSITIVE	4527	27639	482	1220	0.1637902963204168	0.13383420704292426	0.19813207517561648	0.2489090996233491	0.22740337270902483	0.27019026318384887	8.511880330293229	0.1583646102831323	0.16822742474916388	Q2Y5Q6	B8CWH7	0.026701400195376097	0.03799425668212945	0.11881761279351641	0.07554671968190854	0.21914685770107456	0.12524850894632206
EXACT_RHEA	union50_minus_scored	9082	27639	499	1220	0.32859365389485873	0.261403888125484	0.40433382637105114	0.28676042350966724	0.2661538128405615	0.3088751092531855	-4.183323038519148	0.318552704448957	0.3374953548866592	A0KZ12	B8CWH7	0.026701400195376097	0.054503413345078175	0.11881761279351641	0.100418410041841	0.21914685770107456	0.19819423034573883
EXACT_RHEA	union100_minus_union50	95	27639	8	1220	0.003437172111870907	0.00026466052141774774	0.009267500601841528	0.0014426187371639888	0.000250195950002303	0.0030439522946317755	-0.19945533747069183	0.0009927565540316947	0.0035314672317014236	Q11SV1	B0TC35	0.026701400195376097	0.0	0.11881761279351641	0.0	0.21914685770107456	0.16842105263157894
